Cluster,Size,Mean_Silhouette,Std_Silhouette
0,9,0.4846655,0.08468654
1,15,0.40516824,0.18957727
2,15,0.65944254,0.101915166
3,13,0.31116182,0.1854045
4,14,0.6912964,0.059504893
5,3,0.9325168,0.01280343
6,8,0.30917618,0.18676105
7,9,0.1638131,0.17547175
8,4,0.649548,0.081802666
9,9,0.41045353,0.15470971
10,9,0.49291313,0.10991492
11,9,0.7757591,0.044569314
12,17,0.27345335,0.12677163
13,7,0.48122978,0.19404136
14,8,0.48791158,0.14178628
15,12,0.51719105,0.20024562
16,8,0.6984705,0.09425478
17,25,0.37777847,0.1714862
18,11,0.52639174,0.12756945
19,13,0.6224364,0.11157245
20,13,0.39754546,0.1516575
21,12,0.31828603,0.20080405
22,10,0.46732467,0.18517421
23,16,0.53101933,0.14904171
24,14,0.44430274,0.14648397
25,9,0.55395055,0.104130566
26,9,0.4264292,0.15666173
27,2,0.9986634,7.748604e-07
28,10,0.28179947,0.19336063
29,7,0.5680261,0.04613753
30,8,0.46020043,0.2154744
31,11,0.4340123,0.10738713
32,14,0.3722976,0.22639948
33,7,0.56416494,0.2091355
34,6,0.4906025,0.072558776
35,6,0.31500998,0.17013982
36,14,0.6921548,0.05414184
37,11,0.29878533,0.19758266
38,7,0.33023074,0.2782698
39,4,0.8667843,0.035423353
40,11,0.5990219,0.10012164
41,10,0.4979815,0.19419076
42,7,0.69163704,0.093995504
43,6,0.3633475,0.106770314
44,18,0.4637405,0.1521621
45,13,0.31854102,0.17739773
46,8,0.466961,0.049573142
47,4,0.83728063,0.064576626
48,5,0.6982689,0.07490969
